School,Program,Result,Result_Date,GPA,Verbal_GRE,Quant_GRE,Writing_GRE,Subject_GRE,Status,Submit_Date,Result_Day,Result_Month,Result_Year,Submit_Day,Submit_Month,Submit_Year,Degree_Type
George Washington University,"Statistics, PhD (F13)",Accepted,24 Apr 2013,3.8700000000000001,147.0,165.0,3.0,,I,24 Apr 2013,24,Apr,2013,24,Apr,2013,Phd
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F13)",Accepted,28 Feb 2013,,,,,,,24 Apr 2013,28,Feb,2013,24,Apr,2013,Masters
Cornell University,"MPS In Applied Statistics, Masters (F13)",Accepted,23 Apr 2013,3.8399999999999999,153.0,170.0,4.5,,U,23 Apr 2013,23,Apr,2013,23,Apr,2013,Masters
George Washington University,"Statistics, Masters (F13)",Accepted,22 Apr 2013,,,,,,,23 Apr 2013,22,Apr,2013,23,Apr,2013,Masters
Rutgers,"Statistics, Masters (F13)",Accepted,19 Apr 2013,,,,,,,22 Apr 2013,19,Apr,2013,22,Apr,2013,Masters
Carnegie Mellon,"Statistics, PhD (F13)",Accepted,12 Apr 2013,3.5,166.0,169.0,5.0,,U,21 Apr 2013,12,Apr,2013,21,Apr,2013,Phd
McMaster University,"Statistics, Masters (F13)",Accepted,24 Feb 2013,,,,,,,20 Apr 2013,24,Feb,2013,20,Apr,2013,Masters
University Of Missouri,"Statistics, Masters (F13)",Accepted,19 Apr 2013,,,,,,,19 Apr 2013,19,Apr,2013,19,Apr,2013,Masters
University Of Iowa,"Statistics, PhD (F13)",Rejected,18 Apr 2013,,,,,,,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
UCLA,"Statistics, PhD (F13)",Accepted,18 Apr 2013,,,,,,,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
UCLA,"Statistics, PhD (F13)",Accepted,18 Apr 2013,4.0,650.0,780.0,4.0,,A,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
"California State University, Long Beach","Applied Statistics, Masters (F13)",Accepted,21 Mar 2013,,,,,,,18 Apr 2013,21,Mar,2013,18,Apr,2013,Masters
University Of Toronto,"Statistics, PhD (F13)",Rejected,18 Apr 2013,,,,,,,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
Michigan State University,"Statistics, PhD (F13)",Rejected,18 Apr 2013,,,,,,,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
Michigan State University,"Statistics, PhD (F13)",Rejected,18 Apr 2013,,,,,,,18 Apr 2013,18,Apr,2013,18,Apr,2013,Phd
Baylor University,"Statistics, PhD (F13)",Rejected,16 Apr 2013,,159.0,163.0,0.0,,A,17 Apr 2013,16,Apr,2013,17,Apr,2013,Phd
Ohio State University,"Statistics, PhD (F13)",Rejected,17 Apr 2013,,,,,,,17 Apr 2013,17,Apr,2013,17,Apr,2013,Phd
Purdue University,"Statistics, PhD (F13)",Accepted,15 Apr 2013,,,,,,,17 Apr 2013,15,Apr,2013,17,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Phd
University Of Iowa,"Statistics, Masters (F13)",Rejected,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Masters
Ohio State University,"Statistics, PhD (F13)",Rejected,16 Apr 2013,3.2599999999999998,161.0,159.0,3.5,,A,16 Apr 2013,16,Apr,2013,16,Apr,2013,Phd
USC,"Statistics, Masters (F13)",Rejected,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Masters
Columbia University,"Statistics, PhD (F13)",Accepted,14 Apr 2013,3.7999999999999998,164.0,169.0,5.5,,A,16 Apr 2013,14,Apr,2013,16,Apr,2013,Phd
Purdue University,"Statistics, Masters (F13)",Accepted,15 Apr 2013,,,,,,,16 Apr 2013,15,Apr,2013,16,Apr,2013,Masters
Purdue University,"Statistics, PhD (F13)",Accepted,15 Apr 2013,,,,,,,16 Apr 2013,15,Apr,2013,16,Apr,2013,Phd
Cornell University,"Statistics, PhD (F13)",Rejected,15 Apr 2013,3.6400000000000001,162.0,163.0,4.0,,A,16 Apr 2013,15,Apr,2013,16,Apr,2013,Phd
"University Of California, Davis","Statistics, Masters (F13)",Rejected,15 Apr 2013,3.3999999999999999,160.0,154.0,4.0,,A,16 Apr 2013,15,Apr,2013,16,Apr,2013,Masters
Cornell University,"Statistics MPS, Masters (F13)",Accepted,15 Apr 2013,,,,,,,16 Apr 2013,15,Apr,2013,16,Apr,2013,Masters
Purdue University,"Statistics, PhD (F13)",Accepted,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Phd
Cornell University,"Statistics MPS, Masters (F13)",Accepted,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Masters
Purdue University,"Statistics, PhD (F13)",Accepted,16 Apr 2013,,,,,,,16 Apr 2013,16,Apr,2013,16,Apr,2013,Phd
Purdue University,"Statistics, PhD (F13)",Accepted,15 Apr 2013,,,,,,,15 Apr 2013,15,Apr,2013,15,Apr,2013,Phd
Michigan State University,"Statistics, Masters (F13)",Rejected,15 Apr 2013,,,,,,,15 Apr 2013,15,Apr,2013,15,Apr,2013,Masters
University Of Chicago,"Master In Statistics, Masters (F13)",Accepted,12 Apr 2013,3.7999999999999998,150.0,170.0,3.5,,,14 Apr 2013,12,Apr,2013,14,Apr,2013,Masters
Carnegie Mellon,"MSP Statistics, Masters (F13)",Rejected,11 Apr 2013,,,,,,,14 Apr 2013,11,Apr,2013,14,Apr,2013,Masters
University Of California Irvine,"Statistics, Masters (F13)",Rejected,18 Feb 2013,,,,,,,14 Apr 2013,18,Feb,2013,14,Apr,2013,Masters
University Of Georgia,"Statistics, Masters (F13)",Rejected,11 Apr 2013,,,,,,,13 Apr 2013,11,Apr,2013,13,Apr,2013,Masters
University Of North Carolina At Chapel Hill,"Statistics, Masters (F13)",Rejected,13 Apr 2013,,,,,,,13 Apr 2013,13,Apr,2013,13,Apr,2013,Masters
Carnegie Mellon,"Statistics, PhD (F13)",Accepted,12 Apr 2013,,,,,,,12 Apr 2013,12,Apr,2013,12,Apr,2013,Phd
Columbia University,"Statistics, PhD (F13)",Rejected,12 Apr 2013,,,,,,,12 Apr 2013,12,Apr,2013,12,Apr,2013,Phd
UCLA,"Statistics, Masters (F13)",Accepted,12 Apr 2013,,161.0,169.0,4.5,,I,12 Apr 2013,12,Apr,2013,12,Apr,2013,Masters
University Of Washington,"Statistics, PhD (F13)",Accepted,12 Apr 2013,4.0,170.0,166.0,4.5,,A,12 Apr 2013,12,Apr,2013,12,Apr,2013,Phd
University Of Toronto,"Statistics, Masters (F13)",Accepted,11 Apr 2013,,,,,,,11 Apr 2013,11,Apr,2013,11,Apr,2013,Masters
Carnegie Mellon,"Statistics, PhD (F13)",Rejected,15 Feb 2013,,,,,,,11 Apr 2013,15,Feb,2013,11,Apr,2013,Phd
Carnegie Mellon,"Statistics, PhD (F13)",Accepted,15 Feb 2013,,,,,,,11 Apr 2013,15,Feb,2013,11,Apr,2013,Phd
UCLA,"Statistics, Masters (F13)",Rejected,11 Apr 2013,,,,,,,11 Apr 2013,11,Apr,2013,11,Apr,2013,Masters
UCLA,"Statistics, Masters (F13)",Accepted,11 Apr 2013,,,,,,,11 Apr 2013,11,Apr,2013,11,Apr,2013,Masters
NCSU,"Statistics, Masters (F13)",Rejected,11 Apr 2013,,,,,,,11 Apr 2013,11,Apr,2013,11,Apr,2013,Masters
Carnegie Mellon,"Statistics, Masters (F13)",Rejected,10 Apr 2013,,,,,,,10 Apr 2013,10,Apr,2013,10,Apr,2013,Masters
Carnegie Mellon,"Statistics, Masters (F13)",Rejected,10 Apr 2013,,,,,,,10 Apr 2013,10,Apr,2013,10,Apr,2013,Masters
Georgia Tech,"Statistics, Masters (F13)",Rejected,10 Apr 2013,,,,,,,10 Apr 2013,10,Apr,2013,10,Apr,2013,Masters
Boston U,"Statistics, PhD (F13)",Rejected,10 Apr 2013,,,,,,,10 Apr 2013,10,Apr,2013,10,Apr,2013,Phd
U Of Kentucky,"Statistics, Masters (F13)",Accepted,10 Apr 2013,,,,,,,10 Apr 2013,10,Apr,2013,10,Apr,2013,Masters
University Of Chicago,"Statistics, PhD (F13)",Rejected,10 Apr 2013,3.5,151.0,167.0,3.5,,I,10 Apr 2013,10,Apr,2013,10,Apr,2013,Phd
"U Of Texas, Dallas","Statistics, PhD (F13)",Rejected,4 Apr 2013,,,,,,,9 Apr 2013,4,Apr,2013,9,Apr,2013,Phd
Clemson University,"Statistics, PhD (F13)",Accepted,9 Apr 2013,,,,,,,9 Apr 2013,9,Apr,2013,9,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,9 Apr 2013,8,Apr,2013,9,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,9 Apr 2013,,,,,,,9 Apr 2013,9,Apr,2013,9,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,3.54,167.0,167.0,4.5,,A,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
"University Of California, Davis","Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
University Of Florida,"Statistics, PhD (F13)",Rejected,8 Apr 2013,,,,,,,8 Apr 2013,8,Apr,2013,8,Apr,2013,Phd
Northwestern University,"Statistics, PhD (F13)",Rejected,6 Apr 2013,,,,,,,6 Apr 2013,6,Apr,2013,6,Apr,2013,Phd
Northwestern University,"Statistics, PhD (F13)",Rejected,5 Apr 2013,3.5,150.0,161.0,3.0,,I,5 Apr 2013,5,Apr,2013,5,Apr,2013,Phd
University Of Notre Dame,"Applied And Computational Math And Statistics, PhD (F13)",Rejected,5 Apr 2013,,,,,,,5 Apr 2013,5,Apr,2013,5,Apr,2013,Phd
University Of Connecticut,"Statistics, PhD (F13)",Rejected,4 Apr 2013,,,,,,,5 Apr 2013,4,Apr,2013,5,Apr,2013,Phd
University Of Connecticut,"Statistics, PhD (F13)",Rejected,4 Apr 2013,,152.0,168.0,4.0,,U,5 Apr 2013,4,Apr,2013,5,Apr,2013,Phd
Florida State University,"Statistics, PhD (F13)",Accepted,5 Apr 2013,,,,,,,5 Apr 2013,5,Apr,2013,5,Apr,2013,Phd
NCSU,"STATISTICS, PhD (F13)",Accepted,4 Apr 2013,4.0,159.0,170.0,4.0,900.0,U,5 Apr 2013,4,Apr,2013,5,Apr,2013,Phd
NCSU,"Statistics, PhD (F13)",Accepted,4 Apr 2013,3.7599999999999998,168.0,162.0,3.5,,A,4 Apr 2013,4,Apr,2013,4,Apr,2013,Phd
University Of Connecticut,"Statistics, PhD (F13)",Rejected,4 Apr 2013,,,,,,,4 Apr 2013,4,Apr,2013,4,Apr,2013,Phd
Kansas State University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,3.3999999999999999,161.0,169.0,3.5,,A,4 Apr 2013,25,Mar,2013,4,Apr,2013,Masters
University Of North Carolina At Chapel Hill,"Statistics, PhD (F13)",Accepted,3 Apr 2013,,,,,,,4 Apr 2013,3,Apr,2013,4,Apr,2013,Phd
IUPUI,"Statistics, PhD (F13)",Accepted,30 Mar 2013,,,,,,,4 Apr 2013,30,Mar,2013,4,Apr,2013,Phd
USC,"Statistics, PhD (F13)",Accepted,4 Apr 2013,,,,,,,4 Apr 2013,4,Apr,2013,4,Apr,2013,Phd
Georgia State University,"Statistics, Masters (F13)",Accepted,4 Apr 2013,,,,,,,4 Apr 2013,4,Apr,2013,4,Apr,2013,Masters
University Of Cambridge,"Pure Math And Mathematical Statistics, Masters (F13)",Accepted,4 Apr 2013,,,,,,,4 Apr 2013,4,Apr,2013,4,Apr,2013,Masters
Colorado School Of Mines,"Statistics, PhD (F13)",Accepted,3 Apr 2013,,,,,,,4 Apr 2013,3,Apr,2013,4,Apr,2013,Phd
University Of Florida,"Statistics, PhD (F13)",Rejected,4 Apr 2013,,,,,,,4 Apr 2013,4,Apr,2013,4,Apr,2013,Phd
University Of Georgia,"Statistics, PhD (F13)",Accepted,26 Mar 2013,,,,,,,4 Apr 2013,26,Mar,2013,4,Apr,2013,Phd
Stony Brook University,"Applied Mathematics And Statistics, PhD (F13)",Accepted,3 Apr 2013,,,,,,,3 Apr 2013,3,Apr,2013,3,Apr,2013,Phd
Colorado School Of Mines,"Statistics, Masters (F13)",Accepted,2 Apr 2013,3.6000000000000001,151.0,160.0,3.0,,A,3 Apr 2013,2,Apr,2013,3,Apr,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,30 Mar 2013,,,,,,,3 Apr 2013,30,Mar,2013,3,Apr,2013,Masters
Johns Hopkins University,"Applied Mathematics And Statistics, PhD (F13)",Accepted,24 Mar 2013,3.7999999999999998,164.0,169.0,5.5,,A,2 Apr 2013,24,Mar,2013,2,Apr,2013,Phd
NCSU,"Statistics, PhD (F13)",Rejected,2 Apr 2013,,,,,,,2 Apr 2013,2,Apr,2013,2,Apr,2013,Phd
Boston U,"Statistics, Masters (F13)",Rejected,2 Apr 2013,,,,,,,2 Apr 2013,2,Apr,2013,2,Apr,2013,Masters
George Washington University,"Statistics, PhD (F13)",Rejected,2 Apr 2013,,,,,,,2 Apr 2013,2,Apr,2013,2,Apr,2013,Phd
George Washington University,"Statistics, PhD (F13)",Rejected,2 Apr 2013,,,,,,,2 Apr 2013,2,Apr,2013,2,Apr,2013,Phd
Johns Hopkins University,"Applied Mathematics And Statistics, PhD (F13)",Accepted,1 Apr 2013,3.8100000000000001,170.0,170.0,4.0,760.0,A,2 Apr 2013,1,Apr,2013,2,Apr,2013,Phd
Stanford University,"Statistics, Masters (F13)",Rejected,1 Apr 2013,,,,,,,2 Apr 2013,1,Apr,2013,2,Apr,2013,Masters
Virginia Tech,"Statistics, Masters (F13)",Rejected,26 Feb 2013,,148.0,160.0,3.0,,I,1 Apr 2013,26,Feb,2013,1,Apr,2013,Masters
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F13)",Rejected,1 Mar 2013,,148.0,160.0,3.0,,I,1 Apr 2013,1,Mar,2013,1,Apr,2013,Masters
NCSU,"Statistics, PhD (F13)",Accepted,1 Apr 2013,,,,,,,1 Apr 2013,1,Apr,2013,1,Apr,2013,Phd
Stanford University,"Statistics, Masters (F13)",Accepted,30 Mar 2013,,161.0,169.0,4.5,,I,31 Mar 2013,30,Mar,2013,31,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,30 Mar 2013,,,,,,,31 Mar 2013,30,Mar,2013,31,Mar,2013,Masters
"University Of Michigan, Ann Arbor","Statistics, PhD (F13)",Rejected,26 Mar 2013,3.8100000000000001,170.0,170.0,4.0,760.0,A,30 Mar 2013,26,Mar,2013,30,Mar,2013,Phd
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,30 Mar 2013,3.9700000000000002,790.0,700.0,4.5,,U,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,30 Mar 2013,,,,,,,30 Mar 2013,30,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,3.98,169.0,162.0,4.5,,A,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,3.46,670.0,800.0,4.5,,A,30 Mar 2013,29,Mar,2013,30,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,29 Mar 2013,,,,,,,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,29 Mar 2013,,,,,,,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
Stanford University,"Statistics, Masters (F13)",Accepted,29 Mar 2013,3.9399999999999999,800.0,710.0,3.5,,U,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
WPI,"Applied Statistics, Masters (F13)",Accepted,29 Mar 2013,,,,,,,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
University Of Connecticut,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
University Of New Mexico,"Statistics, Masters (F13)",Accepted,28 Mar 2013,3.9300000000000002,580.0,770.0,5.0,,A,29 Mar 2013,28,Mar,2013,29,Mar,2013,Masters
Columbia University,"Statistics, QMSS, Masters (F13)",Accepted,28 Mar 2013,3.9199999999999999,164.0,163.0,3.5,,U,29 Mar 2013,28,Mar,2013,29,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,29 Mar 2013,4.0,162.0,170.0,4.0,,I,29 Mar 2013,29,Mar,2013,29,Mar,2013,Phd
University Of Connecticut,"Statistics, Masters (F13)",Rejected,29 Mar 2013,3.5,153.0,170.0,3.5,,I,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
rrgia State University,"Statistics, Masters (F13)",Rejected,29 Mar 2013,,,,,,,29 Mar 2013,29,Mar,2013,29,Mar,2013,Masters
University Of Connecticut,"Statistics, Masters (F13)",Rejected,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Phd
Columbia University,"Statistics, PhD (F13)",Rejected,28 Mar 2013,3.5899999999999999,550.0,780.0,4.0,,A,28 Mar 2013,28,Mar,2013,28,Mar,2013,Phd
Rutgers,"Statistics, Masters (F13)",Rejected,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Masters
NCSU,"Statistics, Masters (F13)",Rejected,19 Mar 2013,,,,,,,28 Mar 2013,19,Mar,2013,28,Mar,2013,Masters
Florida State University,"Statistics, Masters (F13)",Accepted,22 Mar 2013,3.1499999999999999,147.0,161.0,3.0,,I,28 Mar 2013,22,Mar,2013,28,Mar,2013,Masters
Rice University,"Statistics, Masters (F13)",Rejected,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Masters
University Of Massachusetts Amherst,"Statistics, Masters (F13)",Accepted,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Masters
Rutgers,"Statistics And Biostatistics, Masters (F13)",Accepted,28 Mar 2013,,,,,,,28 Mar 2013,28,Mar,2013,28,Mar,2013,Masters
University Of Waterloo,"Statistics, Masters (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,28 Mar 2013,,,,,,,27 Mar 2013,28,Mar,2013,27,Mar,2013,Phd
University Of Toronto,"Statistics, Masters (F13)",Accepted,26 Mar 2013,,,,,,,27 Mar 2013,26,Mar,2013,27,Mar,2013,Masters
Uppsala University,"Statistics, Masters (F13)",Accepted,27 Mar 2013,3.5299999999999998,150.0,158.0,3.5,,I,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Uppsala University,"Statistics, Masters (F13)",Accepted,27 Mar 2013,3.5299999999999998,150.0,158.0,3.5,,I,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
University Of California Irvine,"Statistics, Masters (F13)",Rejected,16 Feb 2013,3.02,163.0,157.0,0.0,,A,27 Mar 2013,16,Feb,2013,27,Mar,2013,Masters
Simon Fraser University SFU,"Statistics, Masters (F13)",Rejected,27 Mar 2013,3.5699999999999998,149.0,168.0,3.5,,I,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Simon Fraser University SFU,"Statistics, Masters (F13)",Rejected,26 Mar 2013,,,,,,,27 Mar 2013,26,Mar,2013,27,Mar,2013,Masters
Simon Fraser University SFU,"Statistics, Masters (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Carnegie Mellon,"Statistics MSP, Masters (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Columbia University,"Statistics, Masters (F13)",Accepted,24 Mar 2013,,,,,,,27 Mar 2013,24,Mar,2013,27,Mar,2013,Masters
"University Of Michigan, Ann Arbor","Statistics, PhD (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Phd
Columbia University,"Statistics, PhD (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Phd
Cornell University,"Statistics, PhD (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Phd
Rice University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,3.5,161.0,170.0,3.5,,U,27 Mar 2013,25,Mar,2013,27,Mar,2013,Masters
Rice University,"Statistics, Masters (F13)",Rejected,27 Mar 2013,,,,,,,27 Mar 2013,27,Mar,2013,27,Mar,2013,Masters
Rice University,"Statistics, Masters (F13)",Rejected,26 Mar 2013,,,,,,,27 Mar 2013,26,Mar,2013,27,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,26 Mar 2013,,,,,,,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
University Of California Santa Barbara,"Statistics And Applied Probability, PhD (F13)",Accepted,26 Mar 2013,3.8100000000000001,139.0,166.0,2.5,,U,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
Stony Brook University,"Applied Mathematics And Statistics, PhD (F13)",Rejected,26 Mar 2013,,167.0,162.0,4.0,,A,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
Columbia University,"Statistics, PhD (F13)",Rejected,26 Mar 2013,3.9199999999999999,160.0,169.0,3.5,,U,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
Cornell University,"Statistics, PhD (F13)",Rejected,26 Mar 2013,3.9199999999999999,160.0,169.0,3.5,,U,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
Cornell University,"Statistics, Masters (F13)",Rejected,26 Mar 2013,,,,,,,26 Mar 2013,26,Mar,2013,26,Mar,2013,Masters
Cornell University,"Statistics, PhD (F13)",Rejected,26 Mar 2013,,,,,,,26 Mar 2013,26,Mar,2013,26,Mar,2013,Phd
Cornell University,"Statistics, Other (F13)",Rejected,26 Mar 2013,,,,,,,26 Mar 2013,26,Mar,2013,26,Mar,2013,Other
NCSU,"Statistics, PhD (F13)",Rejected,25 Mar 2013,,,,,,,26 Mar 2013,25,Mar,2013,26,Mar,2013,Phd
San Diego State University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,3.8500000000000001,154.0,162.0,4.0,,A,26 Mar 2013,25,Mar,2013,26,Mar,2013,Masters
Rice University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,3.9199999999999999,790.0,650.0,3.5,,U,26 Mar 2013,25,Mar,2013,26,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F13)",Rejected,25 Mar 2013,3.9199999999999999,160.0,169.0,3.5,,U,25 Mar 2013,25,Mar,2013,25,Mar,2013,Phd
Florida State University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Masters
Rice University,"Statistics, Masters (F13)",Rejected,25 Mar 2013,3.2000000000000002,145.0,162.0,3.5,,U,25 Mar 2013,25,Mar,2013,25,Mar,2013,Masters
Columbia University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Masters
UBC,"Statistics, Masters (F13)",Rejected,20 Mar 2013,,,,,,,25 Mar 2013,20,Mar,2013,25,Mar,2013,Masters
University Of Western Ontario,"Statistics, Masters (F13)",Accepted,20 Mar 2013,,,,,,,25 Mar 2013,20,Mar,2013,25,Mar,2013,Masters
Columbia University,"Statistics, PhD (F13)",Rejected,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Phd
George Washington University,"Statistics, PhD (F13)",Rejected,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Phd
Columbia University,"Statistics, Masters (F13)",Accepted,25 Mar 2013,,,,,,,25 Mar 2013,25,Mar,2013,25,Mar,2013,Masters
Colorado State University,"Statistics, PhD (F13)",Rejected,11 Mar 2013,3.7000000000000002,157.0,168.0,4.5,,A,24 Mar 2013,11,Mar,2013,24,Mar,2013,Phd
Stony Brook University,"Statistics, PhD (F13)",Accepted,22 Mar 2013,,,,,,,24 Mar 2013,22,Mar,2013,24,Mar,2013,Phd
University Of North Carolina At Chapel Hill,"Statistics, PhD (F13)",Accepted,22 Mar 2013,3.6400000000000001,162.0,163.0,4.0,,A,23 Mar 2013,22,Mar,2013,23,Mar,2013,Phd
Bowling Green State University,"Statistics, Masters (F13)",Accepted,23 Mar 2013,,,,,,,23 Mar 2013,23,Mar,2013,23,Mar,2013,Masters
Stony Brook University,"Statistics, PhD (F13)",Accepted,23 Mar 2013,,,,,,,23 Mar 2013,23,Mar,2013,23,Mar,2013,Phd
University Of California Santa Barbara,"Statistics, Masters (F13)",Rejected,23 Mar 2013,,,,,,,23 Mar 2013,23,Mar,2013,23,Mar,2013,Masters
Stony Brook University,"Statistics, PhD (F13)",Accepted,22 Mar 2013,,,,,,,23 Mar 2013,22,Mar,2013,23,Mar,2013,Phd
University Of California Santa Barbara,"Statistics, Masters (F13)",Rejected,22 Mar 2013,,,,,,,22 Mar 2013,22,Mar,2013,22,Mar,2013,Masters
