school,program,decision,GPA,GRE,GRE_AW
Iowa State University,Economics,Accepted,2.97,165.0,5.0
Portland State University,Community Psychology,Rejected,3.83,157.0,5.0
New York University,Conputer Science,Rejected,3.54,160.0,99.99
University Of Washington,Civil And Environmental Engineering (Non-thesis),Accepted,3.81,166.0,3.0
University of Oxford,MPhil In Economics,Rejected,3.5,170.0,4.5
California State University,Counseling (Marriage And Family Therapy),Rejected,3.56,150.0,4.0
Columbia University,Quantitative Methods In The Social Sciences (QMSS),Accepted,3.85,166.0,5.5
University of Illinois,Biomedical Visualization,Accepted,3.8,159.0,4.0
Duke University,Data Science,Accepted,3.48,154.0,3.0
Massachusetts Institute Of Technology (MIT),"Earth, Atmospheric And Planetary Sciences",Rejected,3.5,161.0,4.5
Baylor University,Speech Language Pathology,Accepted,3.86,142.0,4.5
Duke University,Interdisciplinary Data Science (MIDS),Accepted,2.9,163.0,4.0
Georgia State University,Philosophy,Wait,2.95,155.0,5.5
New York University ( NYU),Psychology,Rejected,3.6,156.0,5.0
Harvard Kennedy School,MPA/ID,Accepted,3.9,153.0,5.0
Harvard Kennedy School,Public Policy,Accepted,3.8,162.0,6.0
"University Of Minnesota, Twin Cities",Computer Science,Accepted,3.64,143.0,3.0
University Of Connecticut (UConn),Speech Language Pathology,Accepted,3.9,148.0,5.0
San Francisco State University (SFSU),Speech Language Pathology,Accepted,3.86,151.0,4.5
Harvard Kennedy School,Public Policy,Rejected,3.57,157.0,5.0
Carnegie Mellon University,Economics,Rejected,3.85,164.0,4.5
University Of Missouri-Kansas City (UMKC),Economics,Accepted,4.0,164.0,4.5
New York University (NYU) - Courant,Computer Science,Rejected,3.73,170.0,3.0
Clemson University,Computer Science,Accepted,3.5,165.0,4.0
Harvard Kennedy School,Public Administration,Accepted,3.73,161.0,4.0
University of Texas at Austin,Computer Science,Accepted,3.8,169.0,4.5
University of Connecticut,Speech Language Pathology,Accepted,3.81,155.0,3.5
University of Texas at Austin,Philosophy,Rejected,4.0,155.0,6.0
Harvard Kennedy School,MPA/ID,Accepted,2.7,168.0,4.0
Georgia Institute of Technology,Chemical Engineering,Accepted,3.4,163.0,3.5
Harvard Kennedy School,Mid-Career Master In Public Administration,Accepted,2.8,149.0,4.5
"University of California, Irvine",Sociology,Rejected,3.72,138.0,5.0
Harvard Kennedy School,Public Policy,Accepted,3.46,170.0,6.0
New York University ( NYU),Data Science,Accepted,3.1,162.0,4.0
Harvard Kennedy School,Public Administration,Accepted,3.92,166.0,4.5
Catholic University Of America,Moral Theology/Ethics,Accepted,3.82,149.0,5.0
New York University (NYU) - Courant,Computer Science,Rejected,3.25,170.0,3.5
Harvard Kennedy School,Public Policy,Rejected,3.75,151.0,5.0
Harvard Kennedy School,Public Policy,Wait,3.4,159.0,4.0
Vanderbilt University,Graduate Program In Economic Development (GPED),Accepted,4.0,160.0,5.0
University of Central Missouri,Speech Language Pathology,Accepted,3.92,146.0,4.0
California State University,Speech Language Pathology,Wait,3.84,149.0,4.5
University Of Illinois Urbana-Champaign (UIUC),Computer Science,Accepted,3.82,169.0,4.5
University of California (UCSB),Computer Science,Rejected,3.3,169.0,4.0
University of Hawaii at Manoa,Geophysics,Rejected,3.67,164.0,3.5
University of Hawaii at Manoa,Geophysics,Rejected,3.67,164.0,3.5
Colorado School of Mines,Geophysics,Accepted,3.67,164.0,3.5
University of Alaska Fairbanks,Geophysics,Rejected,3.67,164.0,3.5
University of Alaska Fairbanks,Geophysics,Accepted,3.67,164.0,3.5
Brown University,Biotechnology,Rejected,3.24,164.0,4.0
University Of Washington,Civil And Environmental Engineering,Accepted,3.86,167.0,3.5
UC San Diego (UCSD),Computer Science,Accepted,3.7,165.0,4.0
University of Louisiana at Lafayette,Speech Language Pathology,Wait,3.42,150.0,3.0
University of California,Pure Mathematics,Rejected,3.98,170.0,4.5
University of California,Civil Engineering,Accepted,3.5,170.0,6.0
Tufts University,Economics and Public Policy,Rejected,4.0,167.0,5.0
Moravian College,Communication Sciences And Disorders,Wait,3.4,148.0,3.5
Bloomsburg University,Communication Sciences And Disorders,Accepted,3.4,148.0,3.5
University of Wisconsin,Speech Language Pathology,Wait,3.6,151.0,4.0
Marquette University,Speech Language Pathology,Wait,3.6,151.0,4.0
UC San Diego (UCSD),Economics,Rejected,3.83,166.0,6.0
York University,Economics,Rejected,3.91,165.0,4.0
University of Oxford,Economics For Development,Rejected,3.94,169.0,3.5
Stanford University,Management Science and Engineering,Accepted,3.75,170.0,5.0
Worcester State University,Speech Language Pathology,Accepted,3.85,141.0,4.5
University of California,Pure Mathematics,Rejected,3.96,169.0,5.0
University of Florida,Finance,Rejected,3.92,170.0,4.5
University of California,Economics,Rejected,4.0,168.0,4.5
University of Texas at Austin,Business Analytics,Accepted,3.5,162.0,4.5
Duke University,Quantitative Management (MQM): Business Analytics,Rejected,3.5,162.0,4.5
"University of California, Irvine",Computer Science,Accepted,3.78,169.0,4.0
Georgia Institute Of Technology,Aerospace Engineering,Rejected,3.1,161.0,4.5
Columbia University,Civil Engineering And Engineering Mechanics,Accepted,3.76,170.0,4.0
Carnegie Mellon University,Information Networking,Rejected,3.12,168.0,4.0
University Of Cambridge,MPhil Geographical Research,Accepted,3.7,152.0,5.5
University Of Washington,Geography,Accepted,3.7,152.0,5.5
University of Florida,Computer Science,Accepted,3.6,170.0,3.0
Columbia University,Data Science,Accepted,8.79,170.0,4.0
Indiana University Bloomington,Creative Writing Fiction,Rejected,3.2,151.0,3.5
UC RIVERSIDE,Creative Writing Fiction,Rejected,3.2,151.0,3.5
University of Arkansas,Creative Writing Fiction,Rejected,3.2,151.0,3.5
Rice University,Computer Science,Rejected,3.92,163.0,3.5
Purdue University,Construction Management Technology (CMT),Accepted,3.22,165.0,4.0
Stanford University,Mechanical Engineering,Accepted,3.87,164.0,4.5
University of California (UCSC),Electrical And Computer Engineering,Accepted,3.4,160.0,4.5
Virginia Tech,Aerospace Engineering,Accepted,3.6,169.0,4.0
University of California (UCSB),Computer Science,Accepted,3.3,169.0,4.0
New York University,Data Science,Accepted,3.41,167.0,4.0
University of California,Mechanical Engineering,Accepted,3.84,153.0,3.5
University of Houston,Biology And Biochemistry,Accepted,3.98,157.0,4.5
Columbia University,Data Science,Accepted,3.5,169.0,4.0
Columbia University,Data Science,Accepted,3.5,169.0,4.0
Stanford University,Mechanical Engineering,Accepted,3.81,165.0,4.0
University Of New Mexico,Musicology,Accepted,3.66,149.0,4.5
Rice University,Chemistry,Rejected,3.63,168.0,3.0
McGill University,Economics,Rejected,3.84,169.0,3.0
Washington University in St. Louis (WashU/WUSTL),Business Economics,Rejected,3.84,169.0,3.0
Stanford University,Mechanical Engineering,Accepted,4.0,170.0,4.0
University Of Washington,Oceanography,Accepted,3.1,158.0,3.5
Stanford University,Mechanical Engineering,Rejected,3.8,169.0,4.0
Baylor University,Geology,Accepted,3.71,167.0,3.0
Texas State University,Speech Language Pathology,Wait,3.89,146.0,4.0
New York University,Physics,Rejected,3.84,159.0,4.5
University Of Washington,Physics,Rejected,3.84,159.0,4.5
NYU Stern,Accounting,Wait,3.3,163.0,4.5
New York University ( NYU) Tandon,Biomedical Engineering,Accepted,2.71,159.0,4.0
McGill University,Economics,Rejected,3.83,168.0,4.0
University of California (UCSC),Computer Science,Rejected,3.58,166.0,5.0
University of California (UCSC),Computer Science,Rejected,3.8,164.0,4.0
University of California,Logic and the Methodology of Science,Wait,3.84,163.0,4.5
Rice University,Computer Science,Rejected,3.65,166.0,3.5
California Institute of Technology,Social Sciences (Economics),Rejected,3.99,170.0,5.5
California Institute of Technology,Electrical And Computer Engineering,Rejected,3.6,165.0,3.5
California Institute of Technology,Social Science,Rejected,4.0,166.0,3.0
McGill University,Epidemiology,Accepted,2.98,150.0,3.0
University of California,Nutrition,Rejected,3.56,167.0,4.0
Iowa State University,Economics,Rejected,4.0,167.0,4.0
Rice University,Chemistry,Rejected,3.77,166.0,4.0
Bridgewater State University,Speech Language Pathology,Rejected,3.4,352.0,4.5
Ryerson University,Clinical Psychology,Rejected,3.8,159.0,3.0
University of Texas,Materials Science And Engineering,Accepted,3.7,168.0,3.5
University of Pennsylvania,Chemistry,Rejected,3.75,170.0,4.0
University Of Washington,Physics,Rejected,3.51,163.0,5.0
Georgia Institute of Technology,Bioinformatics,Accepted,3.35,168.0,5.0
Parsons The New School For Design,Architecutre,Rejected,3.61,147.0,5.0
Georgia Institute of Technology,Mechanical Engineering,Accepted,3.45,161.0,4.0
Worcester State University,Speech Language Pathology,Accepted,3.7,147.0,4.5
New York University ( NYU),Computer Science,Accepted,3.95,162.0,4.0
Toyota Technological Institute At Chicago (TTIC),Computer Science,Rejected,3.95,161.0,4.0
Ohio State University,Statistics,Accepted,3.83,168.0,3.0
University of Texas at Austin,Mechanical Engineering,Accepted,3.31,162.0,4.0
Florida State University (FSU),Economics,Accepted,3.76,157.0,4.5
University of Chicago,Religion,Accepted,3.79,159.0,5.5
University of Missouri,Musicology,Accepted,3.66,149.0,4.5
Boston University,Astronomy,Rejected,3.87,163.0,5.0
Duke University,Computer Science,Accepted,3.89,170.0,3.5
Purdue University,Aerospace Engineering,Accepted,3.24,167.0,4.5
University of Wisconsin,Philosophy,Rejected,3.97,163.0,5.0
San Francisco State University (SFSU),Speech Language Pathology,Accepted,3.6,137.0,3.5
McGill University,Economics,Rejected,3.85,167.0,3.5
Drexel University,Business Administration - Organizational Behavior And Strategy,Rejected,3.74,157.0,5.5
Indiana University Bloomington,Pure Mathematics,Rejected,4.0,170.0,5.5
Carnegie Mellon University,Finance,Accepted,3.7,170.0,6.0
Duke University,Computer Science,Accepted,3.9,169.0,3.5
California State University,Speech Language Pathology,Accepted,3.9,160.0,6.0
University of Georgia,Economics,Accepted,4.0,168.0,4.5
University Of Texas Health San Antonio,Speech Language Pathology,Rejected,3.54,152.0,4.5
Duke University,Computer Science,Accepted,3.97,168.0,4.0
University of Wyoming,Speech Language Pathology,Rejected,3.77,147.0,4.5
Duke University,Computer Science,Accepted,4.0,170.0,4.5
University Of Arizona,Philosophy,Rejected,3.97,169.0,5.5
Boston University,Electrical And Computer Engineering,Rejected,3.59,160.0,4.0
University Of Minnesota,Mechanical Engineering,Rejected,9.01,170.0,4.5
University of Michigan,"Double Major Mechanical Engineering, Naval Architecture & Marine Engineering, Minor In Math",Rejected,3.85,167.0,5.0
Johns Hopkins University,Computer Science,Accepted,3.6,165.0,3.5
University of Houston,Economics,Accepted,3.83,168.0,4.0
Massachusetts Institute Of Technology (MIT),Biology,Accepted,3.9,169.0,5.0
Massachusetts Institute Of Technology (MIT),Computational and Systems Biology,Accepted,3.9,169.0,5.0
University Of Minnesota,Mechanical Engineering,Rejected,3.46,170.0,4.0
Johns Hopkins University,Statistics,Rejected,3.65,164.0,4.5
Boston University,Psychology,Rejected,3.36,168.0,3.0
Columbia University,Physics,Rejected,3.81,168.0,3.5
University Of Waterloo,Data Science And Machine Learning (MDSAI),Rejected,3.6,168.0,4.0
Southern Connecticut State University,Speech Language Pathology,Accepted,4.0,150.0,4.5
University Of Missouri,Nutrition And Exercise Physiology,Accepted,3.3,157.0,4.0
University of Houston,Economics,Accepted,2.97,165.0,5.0
University of Oxford,Sociology,Accepted,3.79,164.0,4.0
North Carolina State University,Economics,Rejected,4.0,162.0,4.0
Boston University,Graduate Program In Neuroscience (GPN),Accepted,3.4,166.0,5.5
Lehman College,Speech Language Pathology,Accepted,3.83,162.0,4.0
University Of Waterloo,Data Science And Artificial Intelligence Co-op Program,Rejected,3.61,164.0,4.0
Boston University,History,Rejected,3.72,155.0,5.0
University of Texas at Austin,Electrical And Computer Engineering,Accepted,3.97,170.0,4.0
Massachusetts Institute Of Technology (MIT),Mechanical Engineering,Rejected,4.0,170.0,4.0
American University,Philosophy,Rejected,3.4,150.0,5.0
University of Rochester,Mechanical Engineering,Accepted,3.93,165.0,3.0
Idaho State University,Speech Language Pathology,Accepted,3.51,145.0,5.0
Portland State University (PDX),Speech Language Pathology,Rejected,3.51,145.0,5.0
Pacific University (Oregon),Speech Language Pathology,Accepted,3.51,145.0,5.0
University Of Central Florida (UCF),Speech Language Pathology,Accepted,3.2,154.0,4.5
University of Illinois,Social Work,Accepted,3.23,169.0,3.0
San Diego State University (SDSU),Multicultural Community Counseling (CBB),Rejected,3.57,150.0,4.0
University Of Central Florida (UCF),Communication Sciences And Disorders,Accepted,3.2,154.0,4.5
Columbia University,Computer Science,Accepted,3.86,167.0,4.5
University of Oregon,Planning And Public Affairs,Rejected,3.92,158.0,4.5
NCSU (North Carolina State University),Mechanical And Aerospace Engineering,Accepted,3.81,164.0,4.5
University Of Maryland (College Park),Economics,Rejected,3.3,168.0,4.5
"University Of Michigan, The Ford School",Public Policy,Accepted,3.8,150.0,4.0
LaSalle University,Speech Language Pathology,Wait,3.61,150.0,4.0
University of Houston,Speech Language Pathology,Wait,3.37,152.0,5.5
University of Pittsburgh,Speech Language Pathology,Accepted,3.9,158.0,4.0
Long Island Consortium,Audiology,Accepted,3.87,145.0,4.5
Northwestern University,Artificial Intelligence,Rejected,3.2,166.0,3.5
University of Southern California,Computer Science,Rejected,3.2,166.0,3.5
Boston University,Economics,Accepted,3.75,167.0,5.0
Seton Hall University,Speech Language Pathology,Accepted,3.9,148.0,3.5
University of California,Physics,Wait,3.78,161.0,3.5
Harvard University,Teacher Education Program,Rejected,3.61,157.0,5.0
Lamar University,Speech Language Pathology,Accepted,3.58,146.0,3.5
Yale University,Computer Science,Accepted,3.82,168.0,5.0
Universitat de Barcelona,Economics,Accepted,3.4,164.0,3.5
University of Delaware,Data Science,Accepted,3.4,167.0,4.0
University of Pittsburgh,Speech Language Pathology,Accepted,3.67,155.0,4.5
University of South Carolina-Upstate,Geography,Rejected,2.74,151.0,4.0
University Of Toronto,Physics,Rejected,3.33,161.0,3.0
Columbia University,Biostatistics,Accepted,3.9,169.0,3.5
University Of Illinois,Aerospace Engineering,Accepted,3.98,167.0,4.5
"University of California, Irvine",Computer Science,Accepted,3.2,166.0,3.5
University Of Maryland Baltimore,Social Work,Accepted,4.27,156.0,3.5
La Salle University,Speech Language Pathology,Accepted,3.93,150.0,4.0
La Salle University,Speech Language Pathology,Accepted,3.93,150.0,4.0
Yale University,Computer Science,Accepted,3.82,170.0,3.5
"University Of Californa, Los Angeles (UCLA)",Urban Planning,Wait,3.27,152.0,4.0
Lamar University,Speech Language Pathology,Wait,3.2,146.0,3.5
University of South Florida,Audiology,Wait,3.8,152.0,4.0
University Of Pennsylvania Wharton,Applied Economics,Rejected,3.8,165.0,4.5
Duke University,Economics,Wait,3.2,166.0,4.0
Duke University,Economics,Rejected,3.4,155.0,4.5
"University of California, Irvine",Electrical And Computer Engineering,Accepted,3.44,152.0,4.0
University Of Oklahoma,Physics,Accepted,3.45,159.0,4.0
UMass - Lowell,Biomedical Engineering And Biotechnology (BMEBT),Accepted,3.3,163.0,3.5
University of Florida,Computer Science,Rejected,8.03,167.0,4.0
Purdue University,Computer Science,Rejected,3.55,164.0,4.0
Cornell University,Mechanical Engineering,Accepted,3.62,152.0,3.0
Lamar University,Speech Language Pathology,Accepted,3.6,150.0,4.0
University of Michigan,Applied And Interdisciplinary Mathematics (AIM),Rejected,3.94,170.0,4.0
University Of Chicago Harris School,International Development,Accepted,3.2,158.0,3.0
Yale University,Computer Science,Rejected,3.8,169.0,4.5
Our Lady of the Lake University,Marriage And Family Therapy,Accepted,3.5,143.0,4.0
Johns Hopkins University,Civil Engineering,Accepted,3.6,169.0,4.0
Dartmouth College,Computer Science,Rejected,3.5,164.0,3.5
Eastern Michigan University,Speech Language Pathology,Accepted,3.78,146.0,4.5
Michigan State University,Speech Language Pathology,Wait,3.78,146.0,4.5
Western Michigan University,Speech Language Pathology,Wait,3.78,146.0,4.5
University of Georgia,Geography,Accepted,3.27,165.0,3.5
Northeastern University (NEU),Computer Science,Accepted,3.23,169.0,4.0
Yale University,Computer Science,Rejected,3.23,169.0,4.0
Indiana University Bloomington,Economics,Rejected,3.85,167.0,3.5
Yale University,Computer Science,Rejected,3.89,170.0,4.0
University Of Oklahoma,Audiology,Wait,3.75,148.0,4.0
SUNY University At Buffalo,Philosophy,Accepted,3.78,160.0,3.5
Temple University,Electrical Engineering,Accepted,3.75,164.0,4.0
ETH Zurich,Computer Science,Accepted,4.0,170.0,4.0
Harvard University,International Education Policy,Accepted,3.2,165.0,4.5
Indiana University,Data Science,Accepted,3.4,161.0,3.0
ETH Zurich,Computer Science,Rejected,3.8,170.0,5.0
University of Oxford,Computer Science,Rejected,3.8,170.0,5.0
University of Massachusetts Amherst,Computer Science,Accepted,3.26,167.0,5.0
Clemson University,Bioengineering,Accepted,3.61,165.0,3.5
Iowa State University,Statistics,Rejected,3.69,170.0,5.0
Harvard University,School Leadership,Accepted,3.7,168.0,5.0
Harvard University,Architecture,Accepted,3.85,156.0,4.0
Princeton University,Architrcture,Accepted,3.85,156.0,4.0
University of Texas at Austin,Speech Language Pathology,Rejected,3.9,148.0,5.0
Purdue University,Philosophy,Rejected,3.75,167.0,4.0
"University of California, Irvine",Biomedical Engineering,Accepted,3.6,162.0,4.0
University of Illinois Urbana-Champaign,Theoretical Physics,Rejected,3.4,166.0,4.0
Molloy College,Speech Language Pathology,Accepted,3.6,154.0,4.0
Monash University,Economics,Rejected,3.83,166.0,3.5
Louisiana State University (LSU),Physics,Accepted,3.8,156.0,5.0
Yale University,Environmental Management,Accepted,3.62,161.0,4.0
Renssalear Polytechnic Institute (RPI),Mathematics,Accepted,3.62,165.0,4.0
University Of Warwick,Economics,Accepted,3.8,169.0,3.5
Stockholm School Of Economics (SSE),Economics,Accepted,3.8,169.0,3.5
Columbia University,Statistics,Rejected,4.0,162.0,3.5
University Of Utah,Social Psychology,Rejected,3.88,152.0,5.0
Northern Illinois University (NIU),Clinical Psychology,Rejected,3.96,159.0,6.0
Kansas State University,Geology,Accepted,3.72,152.0,4.0
University of Chicago,MAPSS,Accepted,3.86,159.0,4.0
Cornell (Ithaca),Electrical And Computer Engineering,Accepted,3.5,165.0,4.0
University Of Alberta,Economics,Accepted,3.85,167.0,3.5
University of California,Economics,Rejected,4.0,168.0,4.5
Purdue University,Computer Graphics Technology,Accepted,3.25,164.0,4.0
Johns Hopkins University,Robotics,Rejected,8.38,165.0,3.5
University of Colorado Boulder,Electrical And Computer Engineering,Rejected,3.77,168.0,4.0
"University of California, Irvine",Electrical And Computer Engineering,Accepted,3.77,168.0,4.0
University of California,Civil And Environmental Engineering (SEMM),Accepted,3.95,168.0,4.0
London School of Economics and Political Science (LSE),Economics,Rejected,3.81,166.0,4.5
University of California,Civil And Environmental Engineering,Rejected,4.0,163.0,4.0
University of Michigan,School Of Environment And Sustainability Policy Track,Rejected,3.2,164.0,4.5
Washington State University,Electrical Engineering,Accepted,3.5,169.0,3.5
University of Illinois,Electrical And Computer Engineering,Accepted,3.61,165.0,4.0
University of California-Riverside,Economics,Accepted,4.0,164.0,3.0
University Of Virginia,Materials Science And Engineering,Accepted,3.7,168.0,3.5
Pepperdine Universityerdine,Clinical Psychology,Rejected,3.36,148.0,5.0
California Institute of Technology,Mechanical Engineering,Rejected,3.93,165.0,3.0
Columbia University,Computer Science,Rejected,3.0,169.0,3.5
University of Pennsylvania,Economics,Rejected,3.8,165.0,4.5
Arizona State University,"Materials Science And Engineering, PhD (F20)",Accepted,3.8,167.0,4.0
UMass Medical School,Biomedical Sciences,Rejected,3.63,169.0,3.5
University Of Connecticut (UConn),Biomedical Sciences,Accepted,3.63,169.0,3.5
"University of California, Irvine",Electrical And Computer Engineering (Computer Engineering),Accepted,3.41,144.0,4.0
Boston University,English,Accepted,4.0,151.0,5.0
Rochester Institute Of Technology (RIT),Computer Science,Accepted,3.7,169.0,3.5
University of Florida,Speech Language Pathology,Accepted,3.98,155.0,4.0
University of California,Economics,Rejected,4.0,170.0,5.0
University Of Missouri,Personal Financial Planning,Rejected,3.8,159.0,3.5
San Diego State University (SDSU),Audiology,Wait,3.76,158.0,4.5
University of California,Economics,Rejected,3.3,168.0,4.5
Arizona State University,Audiology,Rejected,3.76,158.0,4.5
University of Colorado Boulder,Audiology,Rejected,3.76,158.0,4.5
University of California,Economics,Rejected,3.83,166.0,6.0
Texas Womans University (TWU),Speech Language Pathology,Wait,4.0,143.0,4.0
University of Redlands,Communication Sciences And Disorders,Wait,3.8,149.0,4.0
Harvard University,Prevention Science And Practice,Accepted,3.92,160.0,5.5
Purdue University,Computer Science,Rejected,3.4,167.0,4.0
Georgia State University,Philosophy,Accepted,3.94,150.0,5.0
University Of British Columbia,Computer Science,Rejected,3.4,159.0,3.5
Texas A & M University (TAMU),Computer Science,Accepted,3.8,168.0,5.0
Wichita State University,Speech Language Pathology,Accepted,3.55,156.0,4.5
Carnegie Mellon University,Integrated Innovation For Products & Services (MIIPS),Accepted,3.5,160.0,4.5
Idaho State University,Speech Language Pathology,Accepted,3.55,156.0,4.5
Texas A & M University (TAMU),Computer Science,Accepted,9.24,167.0,4.5
Stanford University,Civil And Environmental Engineering,Rejected,3.9,165.0,4.0
California Institute of Technology,Mechanical Engineering,Rejected,3.96,170.0,5.5
University Of Toronto,English,Accepted,3.97,154.0,5.0
University of Florida,Speech Language Pathology,Rejected,3.95,147.0,4.0
University Of New Mexico,Speech Language Pathology,Accepted,3.81,148.0,3.5
Northwestern University,Speech Language Pathology,Accepted,3.14,167.0,4.0
University of South Florida,Speech Language Pathology,Wait,3.86,153.0,5.5
Northwestern University,Speech Language Pathology,Accepted,3.68,156.0,4.0
Penn State (Pennsylvania State University),Information Science,Accepted,3.93,167.0,3.0
Elmhurst College,Speech Language Pathology,Accepted,3.51,155.0,4.0
New York University GSAS (NYU),Data Science,Accepted,8.71,170.0,4.0
New York University,Data Science,Accepted,3.8,165.0,4.0
Yale University,Environmental Management,Accepted,3.5,161.0,5.0
Temple University,Social Psychology,Rejected,3.88,157.0,3.5
Carnegie Mellon University,HCI,Accepted,3.7,162.0,4.0
Texas Woman's University,Speech Language Pathology,Rejected,3.67,145.0,5.0
Eastern New Mexico University,Communicative Disorders,Accepted,3.8,150.0,4.0
Northwestern University,Speech Language Pathology,Accepted,3.61,153.0,4.5
Carnegie Mellon University,Integrated Innovation For Products & Services (MIIPS),Accepted,3.7,169.0,4.0
Georgia State University,Philosophy,Wait,3.7,162.0,4.0
Washington State University,Speech Language Pathology,Accepted,3.93,154.0,4.0
Stanford University,International Policy (Ford Dorsey),Rejected,3.57,166.0,5.0
Central Michigan University,Speech Language Pathology,Accepted,3.87,151.0,4.0
University of Pittsburgh,Speech Language Pathology,Wait,3.71,155.0,4.0
Carnegie Mellon University,Integrated Innovation In Products And Services,Accepted,3.52,163.0,3.5
Temple University,Speech Language Pathology,Accepted,3.91,155.0,5.0
UC San Diego (UCSD),Chemistry and Biochemistry,Accepted,2.97,152.0,4.0
Georgia State University,Philosophy,Accepted,4.0,163.0,4.5
University of Florida,Audiology,Accepted,3.76,157.0,5.0
Virginia Tech,Philosophy,Rejected,3.2,152.0,4.5
Louisiana State University (LSU),English,Accepted,3.9,155.0,6.0
Yale School Of Architecture,Architecture,Rejected,3.76,154.0,4.0
Harvard University,Mind Brain And Education,Accepted,3.5,170.0,4.0
New York University,Data Science,Accepted,3.89,169.0,4.5
Rockhurst University,Speech Language Pathology,Accepted,3.86,146.0,4.5
Washington State University,Speech Language Pathology,Accepted,3.79,149.0,4.5
Kansas State University,Speech Language Pathology,Rejected,3.6,151.0,5.0
Wichita State University,Speech Language Pathology,Accepted,3.6,151.0,5.0
University of Texas at Austin,Speech Language Pathology,Rejected,3.89,146.0,4.0
"Teachers College, Columbia University",Speech Language Pathology Communication Sciences And Disorders,Accepted,4.0,132.0,4.0
SUNY ESF,Construction Management,Accepted,3.12,164.0,3.0
Georgia Institute of Technology,Aerospace Engineering,Rejected,3.37,168.0,3.5
Stanford University,Aerospace Engineering,Rejected,3.37,168.0,3.5
American University,"International Peace And Conflict Resolution, SIS",Accepted,3.29,152.0,4.5
Columbia University,Data Science,Rejected,4.0,170.0,4.5
University Of Nebraska,Statistics,Accepted,3.5,163.0,4.0
Purdue University,Computer Graphics Technology,Accepted,3.46,169.0,4.5
Villanova University,General Psychology,Rejected,3.38,155.0,3.5
University of North Texas (UNT),Speech Language Pathology,Wait,3.4,145.0,4.0
University Of Maryland (College Park),Audiology,Accepted,3.5,150.0,3.5
California State University,Audiology,Accepted,3.5,150.0,3.5
Vanderbilt University,Economics,Rejected,3.46,170.0,3.5
Boston University,Media Science In The College Of Communication,Accepted,3.58,161.0,4.0
University of Montevallo,Speech Language Pathology,Rejected,3.99,154.0,4.0
University Of Illinois - Urbana Champaign (UIUC),Landscape Architecture (2 Years),Accepted,3.7,167.0,3.0
Adelphi University,Speech Language Pathology,Accepted,3.73,153.0,4.0
University Of Washington,Mathematics,Wait,3.85,170.0,4.0
Yale University,Political Science,Accepted,3.94,164.0,6.0
Abilene Christian University,Speech Language Pathology,Accepted,4.0,154.0,5.0
North Carolina State University,Computer Science,Accepted,3.57,158.0,4.5
Ohio State University,School Counseling,Accepted,3.93,156.0,3.0
Columbia University,Computer Science,Accepted,3.8,169.0,4.5
University of Pennsylvania,Data Science,Accepted,3.8,169.0,4.5
Carnegie Mellon University,Computer Science,Wait,3.8,169.0,4.5
Carnegie Mellon University,Mechanical Engineering,Accepted,3.75,168.0,4.0
Tulane University of Louisiana,Architecture,Accepted,3.7,150.0,4.5
University of Houston,Computer Science,Rejected,3.99,160.0,4.0
University Of Virginia,Architecture,Accepted,3.7,150.0,4.5
Southern Illinois University,Speech Language Pathology,Accepted,3.91,151.0,4.0
Stanford University,East Asian Studies,Accepted,3.98,265.0,5.0
University Of Washington,Political Science,Wait,3.45,161.0,4.5
Georgetown University,Philosophy,Accepted,3.97,169.0,5.5
University of Southern California,Public Administration,Accepted,3.7,147.0,4.5
University Of Missouri,Speech Language Pathology,Accepted,3.58,154.0,4.5
Duquesne University,Philosophy,Wait,3.67,159.0,6.0
James Madison University,"Writing, Rhetoric And Technical Communication",Accepted,3.84,152.0,5.0
James Madison University,"Writing, Rhetoric And Technical Communication",Rejected,3.84,152.0,5.0
North Carolina State University,Technical Communication,Accepted,3.84,152.0,5.5
University of Hawaii at Manoa,Communication Sciences And Disorders,Rejected,3.84,149.0,4.5
University of Maryland,Civil And Environmental Engineering,Accepted,3.93,168.0,4.0
University Of Virginia,Architectural History,Accepted,3.5,146.0,4.0
Georgia Institute of Technology,Electrical And Computer Engineering,Accepted,3.76,168.0,3.0
Central Michigan University,Speech Language Pathology,Rejected,3.9,150.0,4.0
University of Wisconsin,Speech Language Pathology,Wait,3.9,150.0,4.0
Arizona State University,Speech Language Pathology,Accepted,3.9,150.0,4.0
Princeton University,Computer Science,Rejected,3.52,170.0,4.0
University of Wisconsin,Computer Science,Rejected,3.52,170.0,4.0
New York University (NYU) Wagner,Urban Planning,Accepted,3.3,157.0,6.0
Stanford University,Policy Organization And Leadership Studies (POLS)/ Public Policy (MPP),Accepted,3.2,166.0,4.0
Cornell University,Architecture,Accepted,3.8,160.0,5.0
Boston College,Political Science,Rejected,4.0,158.0,5.5
Yale University,Political Science,Rejected,4.0,158.0,5.5
San Diego State University (SDSU),Speech Language Pathology,Accepted,3.76,157.0,4.0
University Of Virginia,Architecture,Accepted,3.94,62.0,4.0
Texas Tech Health Sciences Center,Audiology,Rejected,4.0,151.0,4.0
A.T. Still University of Health Sciences,Audiology,Accepted,4.0,151.0,4.0
University Of Virginia,Architecture,Accepted,3.52,155.0,4.5
George Washington University (GWU),Statistics,Accepted,3.67,160.0,4.0
American University,Psychology,Accepted,3.67,160.0,4.0
Georgia Institute of Technology,Analytics,Accepted,3.9,165.0,5.0
University Of Virginia,Architecture,Accepted,3.48,156.0,3.0
